local-authority-code,os-file
BRD,BRADFORD_DISTRICT_(B)
SWA,ABERTAWE_-_SWANSEA
CHC,
CHO,
CHN,
CHI,
CHS,
CHW,CHESHIRE_WEST_AND_CHESTER_(B)
CHE,CHESHIRE_EAST_(B)
CHR,
CHT,
CHL,
CHA,
CGN,SIR_CEREDIGION_-_CEREDIGION
CBF,CENTRAL_BEDFORDSHIRE
CCG,
NIR-Y,
CAS,
NIR-V,
CMN,SIR_GAERFYRDDIN_-_CARMARTHENSHIRE
CAR,
CAT,
CAN,
CAM,CAMBRIDGESHIRE_COUNTY
CPCA,
CAB,
CLD,CALDERDALE_DISTRICT_(B)
CAY,CAERFFILI_-_CAERPHILLY
BUR,BURY_DISTRICT_(B)
BUN,
BKM,BUCKINGHAMSHIRE_COUNTY
BUC,
BRT,
BRX,
BRM,
BRO,
BST,CITY_OF_BRISTOL_(B)
BNH,THE_CITY_OF_BRIGHTON_AND_HOVE_(B)
BGE,PEN-Y-BONT_AR_OGWR_-_BRIDGEND
BRW,
BRE,
BRA,
BRC,BRACKNELL_FOREST_(B)
BPC,"BOURNEMOUTH,_CHRISTCHURCH_AND_POOLE"
BMH,
BOT,
POL,
KIN,
BOL,BOLTON_DISTRICT_(B)
BOS,
BGW,BLAENAU_GWENT_-_BLAENAU_GWENT
BPL,BLACKPOOL_(B)
BBD,BLACKBURN_WITH_DARWEN_(B)
BLA,
BIR,BIRMINGHAM_DISTRICT_(B)
BFS,
BDF,BEDFORD_(B)
BAS,BATH_AND_NORTH_EAST_SOMERSET
BAE,
BAN,
BAI,
BAR,
BNS,BARNSLEY_DISTRICT_(B)
NIR-Q,
NIR-D,
NIR-G,
BAB,
AYL,
ASF,
ASH,
ARU,
ABC,
NIR-O,
AGB,ARGYLL_AND_BUTE
NIR-X,
AND,
NIR-T,
ANN,
ANS,ANGUS
AMB,
ALL,
ADU,
ABD,ABERDEENSHIRE
ABE,ABERDEEN_CITY
