gss-code,local-authority-code
E07000227,HOR
E06000001,HPL
E10000015,HRT
E09000015,HRW
E09000014,HRY
E07000011,HUN
E07000120,HYN
E06000053,IOS
E06000046,IOW
E07000202,IPS
E09000019,ISL
S12000018,IVC
E09000020,KEC
E10000016,KEN
E07000153,KET
E06000010,KHL
E07000146,KIN
E08000034,KIR
E09000021,KTT
E08000011,KWL
E07000121,LAC
E10000017,LAN
N09000007,LBC
E09000022,LBH
E06000016,LCE
E47000004,LCR
E08000035,LDS
E10000018,LEC
E07000063,LEE
E09000023,LEW
E07000138,LIC
E07000194,LIF
E10000019,LIN
E08000012,LIV
E09000001,LND
E06000032,LUT
E07000110,MAI
E07000074,MAL
E08000003,MAN
E07000174,MAS
E07000235,MAV
E06000002,MDB
E07000042,MDE
E06000035,MDW
N09000008,MEA
E07000133,MEL
E07000187,MEN
E06000042,MIK
S12000019,MLN
E07000210,MOL
W06000021,MON
E09000024,MRT
S12000020,MRY
E07000228,MSS
E07000203,MSU
W06000024,MTY
N09000009,MUL
S12000021,NAY
E06000057,NBL
E06000048,NBL
E07000043,NDE
E07000050,NDO
E07000175,NEA
E07000195,NEC
E47000010,NECA
E47000005,NECA
E07000038,NED
E06000012,NEL
E08000021,NET
E07000091,NEW
E10000020,NFK
E06000018,NGM
E07000099,NHE
,NIR-A
,NIR-B
,NIR-C
,NIR-D
,NIR-E
,NIR-F
,NIR-G
,NIR-H
,NIR-I
,NIR-J
,NIR-K
,NIR-L
,NIR-M
,NIR-N
,NIR-O
,NIR-P
,NIR-Q
,NIR-R
,NIR-S
,NIR-T
,NIR-U
,NIR-V
,NIR-W
,NIR-X
,NIR-Y
E07000139,NKE
S12000050,NLK
S12000044,NLK
E06000013,NLN
N09000010,NMD
E07000147,NNO
E06000061,NNT
E07000154,NOR
E07000148,NOW
E06000024,NSM
E47000011,NTCA
E10000021,NTH
W06000012,NTL
E10000024,NTT
E08000022,NTY
E07000219,NUN
E07000218,NWA
E07000134,NWL
E09000025,NWM
W06000022,NWP
E10000023,NYK
E07000135,OAD
E08000004,OLD
S12000023,ORK
E10000025,OXF
E07000178,OXO
W06000009,PEM
E07000122,PEN
S12000048,PKN
S12000024,PKN
E06000026,PLY
E06000029,POL
E06000044,POR
W06000023,POW
E07000123,PRE
E06000031,PTE
E07000051,PUR
E06000003,RCC
E08000005,RCH
W06000016,RCT
E09000026,RDB
E06000038,RDG
E07000236,RED
E07000211,REI
S12000038,RFW
E07000124,RIB
E09000027,RIC
E07000166,RIH
E07000075,ROC
E07000064,ROH
E07000125,ROS
E08000018,ROT
E07000220,RUG
E07000092,RUH
E07000212,RUN
E07000176,RUS
E06000017,RUT
E07000167,RYE
E07000240,SAL
E07000100,SAL
E08000028,SAW
S12000028,SAY
E07000006,SBU
E07000012,SCA
S12000026,SCB
E07000168,SCE
E47000002,SCR
E07000039,SDE
E07000204,SED
E07000188,SEG
E07000169,SEL
E07000111,SEV
E10000029,SFK
E08000014,SFT
E06000025,SGC
E07000044,SHA
E07000112,SHE
E08000019,SHF
E08000013,SHN
E07000140,SHO
E06000051,SHR
E07000141,SKE
E08000007,SKP
E07000031,SLA
E08000006,SLF
E06000039,SLG
S12000029,SLK
E08000024,SND
E07000149,SNO
E07000155,SNR
E08000029,SOL
E10000027,SOM
E06000033,SOS
E07000179,SOX
E07000213,SPE
E07000126,SRI
E10000030,SRY
E07000189,SSO
E07000196,SST
E07000197,STA
E06000021,STE
E07000198,STF
S12000030,STG
E06000045,STH
E09000029,STN
E07000082,STO
E07000221,STR
E10000028,STS
E06000004,STT
E07000243,STV
E07000101,STV
E08000023,STY
E07000205,SUF
E07000214,SUR
W06000011,SWA
E06000030,SWD
E09000028,SWK
E07000113,SWL
E07000246,SWT
E08000008,TAM
E07000215,TAN
E07000190,TAU
E07000199,TAW
E07000045,TEI
E07000076,TEN
E07000093,TES
E07000083,TEW
E06000020,TFW
E07000114,THA
E07000102,THE
E06000034,THR
E06000027,TOB
W06000020,TOF
E07000115,TON
E07000046,TOR
E08000009,TRF
E07000116,TUN
E47000006,TVCA
E09000030,TWH
E07000077,UTT
E07000180,VAL
W06000014,VGL
E07000216,WAE
E10000031,WAR
E07000103,WAT
E07000206,WAV
E07000222,WAW
E06000037,WBK
E07000047,WDE
E07000052,WDO
S12000039,WDU
E07000065,WEA
E47000009,WECA
E07000156,WEL
E07000241,WEW
E07000104,WEW
E07000053,WEY
E09000031,WFT
E08000010,WGN
E06000054,WIL
E07000094,WIN
E08000036,WKF
E07000127,WLA
E07000142,WLI
E08000030,WLL
S12000040,WLN
E08000031,WLV
E47000007,WMCA
E09000032,WND
E06000040,WNM
E06000062,WNT
E07000237,WOC
E07000217,WOI
E06000041,WOK
E10000034,WOR
E07000229,WOT
E07000181,WOX
E08000015,WRL
E06000007,WRT
W06000006,WRX
E07000245,WSK
E09000033,WSM
E07000191,WSO
E10000032,WSX
E07000238,WYC
E47000003,WYCA
E07000239,WYE
E07000007,WYO
E07000128,WYR
E06000014,YOR
S12000027,ZET
