gss-code,local-authority-code
E07000172,BRT
E07000095,BRX
E07000234,BRM
E07000144,BRO
E06000023,BST
E06000043,BNH
W06000013,BGE
E07000068,BRW
E07000143,BRE
E07000067,BRA
E06000036,BRC
E06000058,BPC
E06000028,BMH
E07000136,BOT
E06000029,POL
E07000146,KIN
E08000001,BOL
E07000033,BOS
W06000019,BGW
E06000009,BPL
E06000008,BBD
E07000129,BLA
E08000025,BIR
N09000003,BFS
E06000055,BDF
E06000022,BAS
E07000171,BAE
E07000084,BAN
E07000066,BAI
E07000027,BAR
E08000016,BNS
,NIR-Q
,NIR-D
,NIR-G
E07000200,BAB
E07000004,AYL
E07000105,ASF
E07000170,ASH
E07000224,ARU
N09000002,ABC
,NIR-O
S12000035,AGB
,NIR-X
N09000011,AND
,NIR-T
N09000001,ANN
S12000041,ANS
E07000032,AMB
E07000026,ALL
E07000223,ADU
S12000034,ABD
S12000033,ABE
